CustomerID,CustomerName,BusinessSegment,Country,Region,State,City,PostalCode,Order ID,Order Date,ShipID,ItemNum,OrderQty,Discount,Ship Date,Ship Mode,Manufacture,Category,Sub-Category,Product Name,Price,Cost,Year,Month,Day,MarkedPrice,BuyingPrice,SellingPrice,Profit
A33717C73120,Aaron Bergman,Consumer,United States,Central,Oklahoma,Oklahoma City,73120,CA-2013-140935,2020-11-11,753320.0,OB947579,1.0,0.0,2020-11-13,First Class,Sauder,Office Units,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",142.8,74.76439791,2020.0,11.0,13.0,142.8,74.76439791,142.8,68.03560209000001
A33717C73120,Aaron Bergman,Consumer,United States,Central,Oklahoma,Oklahoma City,73120,CA-2013-140935,2020-11-11,753320.0,TP852007,1.0,0.0,2020-11-13,First Class,Samsung,Technology,Phones,Samsung Convoy 3,76.4444,22.28699708,2020.0,11.0,13.0,76.4444,22.28699708,76.4444,54.15740292
A33717C76017,Aaron Bergman,Consumer,United States,Central,Texas,Arlington,76017,CA-2011-152905,2018-02-19,449735.0,OS205803,2.0,0.2,2018-02-25,Standard Class,Akro,Office Supplies,Storage,Akro Stacking Bins,7.1538,4.041694915,2018.0,2.0,25.0,14.3076,8.08338983,14.107600000000001,6.024210170000002
A33717W98103,Aaron Bergman,Consumer,United States,West,Washington,Seattle,98103,CA-2011-156587,2018-03-07,375131.0,OS241629,3.0,0.0,2018-03-08,First Class,Carina,Office Supplies,Storage,"Carina 42""Hx23 3/4""W Media Storage Unit",74.3636,41.54391061,2018.0,3.0,8.0,223.0908,124.63173182999999,223.0908,98.45906817000001
A33717W98103,Aaron Bergman,Consumer,United States,West,Washington,Seattle,98103,CA-2011-156587,2018-03-07,375131.0,OA461033,3.0,0.0,2018-03-08,First Class,Newell,Office Supplies,Art,Newell 330,5.4545,3.099147727,2018.0,3.0,8.0,16.363500000000002,9.297443181,16.363500000000002,7.066056819000002
A33717W98103,Aaron Bergman,Consumer,United States,West,Washington,Seattle,98103,CA-2011-156587,2018-03-07,375131.0,OC516935,1.0,0.0,2018-03-08,First Class,Global,Office Units,Chairs,"Global Push Button Manager's Chair, Indigo",49.6818,29.5725,2018.0,3.0,8.0,49.6818,29.5725,49.6818,20.1093
A27497E10035,Aaron Hawkins,Corporate,United States,East,New York,New York City,10035,CA-2011-157644,2018-12-31,484703.0,OL329968,3.0,0.0,2019-01-01,First Class,Avery,Office Supplies,Labels,Avery 51,6.0,4.651162791,2019.0,1.0,1.0,18.0,13.953488372999999,18.0,4.046511627000001
A27497E10035,Aaron Hawkins,Corporate,United States,East,New York,New York City,10035,CA-2011-157644,2018-12-31,484703.0,TA875823,3.0,0.0,2019-01-01,First Class,Verbatim,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack",10.7857,4.924977169,2019.0,1.0,1.0,32.3571,14.774931507,32.3571,17.582168493000005
A27497E12180,Aaron Hawkins,Corporate,United States,East,New York,Troy,12180,CA-2011-122070,2018-04-22,289586.0,OE209931,8.0,0.0,2018-04-24,Second Class,Other,Office Supplies,Envelopes,Staples,9.9059,8.254916667,2018.0,4.0,24.0,79.2472,66.039333336,79.2472,13.207866664000008
A27497E12180,Aaron Hawkins,Corporate,United States,East,New York,Troy,12180,CA-2011-122070,2018-04-22,289586.0,OB277850,3.0,0.2,2018-04-24,Second Class,ACCOHIDE,Office Supplies,Binders,"ACCOHIDE 3-Ring Binder, Blue, 1""",3.2955,2.535,2018.0,4.0,24.0,9.8865,7.605,9.6865,2.0815
A27497E19134,Aaron Hawkins,Corporate,United States,East,Pennsylvania,Philadelphia,19134,CA-2014-164000,2021-12-19,233013.0,OA491655,7.0,0.2,2021-12-23,Standard Class,Avery,Office Supplies,Art,Avery Fluorescent Highlighter Four-Color Set,2.75,1.470588235,2021.0,12.0,23.0,19.25,10.294117645,19.05,8.755882355
A27497S39503,Aaron Hawkins,Corporate,United States,South,Mississippi,Gulfport,39503,CA-2013-162747,2020-03-21,457034.0,OF710376,5.0,0.0,2020-03-26,Second Class,Eldon,Office Units,Furnishings,"Eldon Image Series Desk Accessories, Ebony",10.0,5.263157895,2020.0,3.0,26.0,50.0,26.315789475,50.0,23.684210525
A27497W90004,Aaron Hawkins,Corporate,United States,West,California,Los Angeles,90004,CA-2011-113768,2018-05-13,782450.0,OC273248,7.0,0.2,2018-05-19,Standard Class,Iceberg,Office Units,Chairs,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",51.2581,27.12068783,2018.0,5.0,19.0,358.8067,189.84481481,358.6067,168.76188519
A27497W90004,Aaron Hawkins,Corporate,United States,West,California,Los Angeles,90004,CA-2011-113768,2018-05-13,782450.0,OP700403,2.0,0.0,2018-05-19,Standard Class,Other,Office Supplies,Paper,EcoTones Memo Sheets,3.5333,2.387364865,2018.0,5.0,19.0,7.0666,4.77472973,7.0666,2.2918702700000004
A27497W94109,Aaron Hawkins,Corporate,United States,West,California,San Francisco,94109,US-2011-158400,2018-10-25,720091.0,OB681880,4.0,0.2,2018-10-28,First Class,GBC,Office Supplies,Binders,GBC VeloBind Cover Sets,8.1667,5.303051948,2018.0,10.0,28.0,32.6668,21.212207792,32.4668,11.254592207999998
